egoid,usetobacco_6,usebeer_6,usewine_6,usedrugs_6,usedrugs_prescr_6,usecaffine_6
28312,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week
13486,Not at all,Three times a week or more,Three times a week or more,Not at all,Not at all,1-2 times a month
56805,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
57697,,,,,,
54837,,,,,,
29718,,,,,,
26800,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Not at all
60493,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
52051,,,,,,
30972,,,,,,
47142,,,,,,
69217,,,,,,
69009,,,,,,
84390,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more
74845,1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,1-2 times a week
90905,,,,,,
39659,,,,,,
62072,,,,,,
60396,Less than 1-2 times a month,Three times a week or more,1-2 times a month,Less than 1-2 times a month,Not at all,Three times a week or more
61084,,,,,,
92412,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Not at all
92038,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
33388,,,,,,
31717,,,,,,
18324,,,,,,
86440,Less than 1-2 times a month,Not at all,Not at all,Not at all,Not at all,Not at all
95585,Not at all,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all,1-2 times a week
29792,,,,,,
14737,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week
28223,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a month
85708,,,,,,
55452,,,,,,
20179,Less than 1-2 times a month,1-2 times a month,1-2 times a month,Less than 1-2 times a month,Not at all,Three times a week or more
78339,,,,,,
23696,,,,,,
28653,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Less than 1-2 times a month
84715,,,,,,
95559,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Three times a week or more
30152,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
68764,,,,,,
60367,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
36939,,,,,,
59592,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week
22897,Less than 1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a month,Less than 1-2 times a month,Three times a week or more
89652,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Less than 1-2 times a month
28724,Not at all,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,Three times a week or more
92895,,,,,,
69831,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
59178,,,,,,
50072,Not at all,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
44927,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,1-2 times a month
71894,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,1-2 times a week
76790,,,,,,
78428,,,,,,
66676,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week
95930,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more
70962,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week
12738,,,,,,
29647,,,,,,
27111,,,,,,
30453,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
58219,,,,,,
28377,,,,,,
80177,,,,,,
18677,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
66047,,,,,,
58682,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more
81199,,,,,,
85679,,,,,,
79834,Less than 1-2 times a month,Not at all,Three times a week or more,Not at all,Not at all,Three times a week or more
93471,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more
19538,,,,,,
14595,,,,,,
