egoid,usetobacco_7,usebeer_7,usewine_7,usedrugs_7,usedrugs_prescr_7,usecaffine_7
14606,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month
64075,,,,,,
39787,,,,,,
82376,,,,,,
44872,Not at all,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
87783,,,,,,
22199,,,,,,
47498,,,,,,
57325,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more
53776,,,,,,
58633,,,,,,
27306,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
80607,,,,,,
73143,,,,,,
35797,,,,,,
46365,Three times a week or more,Three times a week or more,Three times a week or more,Not at all,Not at all,Three times a week or more
30596,,,,,,
31045,,,,,,
74492,Less than 1-2 times a month,Not at all,1-2 times a week,Not at all,Not at all,1-2 times a week
76791,,,,,,
21348,,,,,,
23287,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
14763,,,,,,
22066,,,,,,
64058,,,,,,
28247,Not at all,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,1-2 times a month
72873,,,,,,
67544,,,,,,
76810,,,,,,
51760,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,1-2 times a month
72806,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
98766,,,,,,
23042,,,,,,
60997,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Not at all
36038,Three times a week or more,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,Three times a week or more
39146,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week
60963,,,,,,
67918,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
34467,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a month
42132,,,,,,
41268,,,,,,
90692,,,,,,
32668,,,,,,
24079,,,,,,
59673,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
74899,,,,,,
48891,,,,,,
81807,Not at all,Less than 1-2 times a month,Not at all,Not at all,Not at all,Less than 1-2 times a month
77187,,,,,,
91176,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week
22292,,,,,,
35011,,,,,,
76785,,,,,,
60903,,,,,,
10115,,,,,,
35416,Not at all,1-2 times a month,Not at all,Not at all,Not at all,Three times a week or more
89710,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Three times a week or more
97596,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Three times a week or more
39129,,,,,,
57359,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
17308,Not at all,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,Three times a week or more
51851,,,,,,
35855,,,,,,
67334,Not at all,Not at all,Three times a week or more,1-2 times a month,Not at all,Three times a week or more
60230,,,,,,
77838,,,,,,
37371,,,,,,
57292,,,,,,
66406,,,,,,
90447,,,,,,
56798,,,,,,
28827,,,,,,
23115,,,,,,
